"","coefficients","replicate","pval","treatment_site"
"treatment20C:siteCI5...166",0.291417039370574,24,2.37742959988669e-15,"treatment20C:siteCI5"
"treatment20C:siteDB...167",0.443320248962407,24,7.42373876944633e-31,"treatment20C:siteDB"
"treatment20C:sitePW...168",0.155108440786894,24,2.20358435900881e-05,"treatment20C:sitePW"
"treatment20C...169",-0.684506788684246,25,3.42527801072042e-134,"treatment20C"
"siteCI5...170",0.209848036224443,25,1.72831454337328e-19,"siteCI5"
"siteDB...171",-0.577564497030411,25,2.97813092531585e-122,"siteDB"
"sitePW...172",-0.373384854876028,25,1.30466040883758e-55,"sitePW"
"treatment20C:siteCI5...173",0.256809611034779,25,1.0266098088201e-12,"treatment20C:siteCI5"
"treatment20C:siteDB...174",0.417351079819261,25,1.13440927289819e-28,"treatment20C:siteDB"
"treatment20C:sitePW...175",0.357854124657065,25,5.95036363665639e-23,"treatment20C:sitePW"
"treatment20C...176",-0.597806920385275,26,4.12812570246694e-112,"treatment20C"
"siteCI5...177",-0.0319687438504466,26,0.192662289878506,"siteCI5"
"siteDB...178",-0.817159679776583,26,1.96002866030788e-220,"siteDB"
"sitePW...179",-0.343234290390138,26,7.08151979740405e-48,"sitePW"
"treatment20C:siteCI5...180",0.089535928003371,26,0.0165105370089534,"treatment20C:siteCI5"
"treatment20C:siteDB...181",0.762928436984713,26,3.97893408298678e-95,"treatment20C:siteDB"
"treatment20C:sitePW...182",0.145297351615508,26,4.03104484627826e-05,"treatment20C:sitePW"
"treatment20C...183",-0.734319350312841,27,3.04405205592215e-161,"treatment20C"
"siteCI5...184",-0.0858980946575316,27,0.000407054686807075,"siteCI5"
"siteDB...185",-0.589623677966816,27,1.39124159835946e-132,"siteDB"
"sitePW...186",-0.549575290145393,27,1.71182789373958e-113,"sitePW"
"treatment20C:siteCI5...187",0.416196565272967,27,2.82155699275702e-30,"treatment20C:siteCI5"
"treatment20C:siteDB...188",0.436480061293044,27,8.66648819939082e-33,"treatment20C:siteDB"
"treatment20C:sitePW...189",0.463797574470178,27,8.37549326138199e-38,"treatment20C:sitePW"
"treatment20C...190",-0.469536101681052,28,9.75209152951936e-66,"treatment20C"
"siteCI5...191",0.0744750168620026,28,0.00298635878410641,"siteCI5"
"siteDB...192",-0.550847322338426,28,2.08709378046495e-101,"siteDB"
"sitePW...193",-0.361837042844764,28,5.49654989685894e-46,"sitePW"
"treatment20C:siteCI5...194",0.249680880477645,28,6.28012147215464e-12,"treatment20C:siteCI5"
"treatment20C:siteDB...195",0.268218936077885,28,9.40056901756394e-13,"treatment20C:siteDB"
"treatment20C:sitePW...196",0.147796040396368,28,5.95905371017476e-05,"treatment20C:sitePW"
"treatment20C...197",-0.626642561467732,29,1.51408456181294e-121,"treatment20C"
"siteCI5...198",-0.0458261189095666,29,0.0599868282972897,"siteCI5"
"siteDB...199",-0.580573234054975,29,1.39257294208786e-124,"siteDB"
"sitePW...200",-0.418952184859901,29,3.41303547367039e-69,"sitePW"
"treatment20C:siteCI5...201",0.427378389348182,29,2.15388414683082e-32,"treatment20C:siteCI5"
"treatment20C:siteDB...202",0.380740463707751,29,4.9048484171202e-25,"treatment20C:siteDB"
"treatment20C:sitePW...203",0.228188601149083,29,2.7544572779829e-10,"treatment20C:sitePW"
